FIT Profiler Report
Profile stats for: [LightningModule]PointTransformerLightningModule.configure_callbacks
         7 function calls in 0.000 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 contextlib.py:141(__exit__)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.000    0.000 profiler.py:55(profile)
        1    0.000    0.000    0.000    0.000 advanced.py:79(stop)
        1    0.000    0.000    0.000    0.000 module.py:934(configure_callbacks)
        1    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}



Profile stats for: [LightningDataModule]DefaultDataModule.prepare_data
         2451403 function calls (2448415 primitive calls) in 5.353 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    5.353    5.353 data.py:32(prepare_data)
        2    0.002    0.001    5.353    2.676 zip.py:28(prepare_data)
    15232    0.112    0.000    2.786    0.000 serialization.py:1117(load)
        4    0.000    0.000    2.603    0.651 _contextlib.py:113(decorate_context)
        2    0.000    0.000    2.526    1.263 occupancy_revised.py:172(prepare_data)
        2    0.035    0.018    2.444    1.222 occupancy_revised.py:230(on_after_prepare)
     7616    0.030    0.000    2.409    0.000 occupancy_revised.py:234(get_at_idx)
    15232    0.071    0.000    1.978    0.000 serialization.py:1715(_load)
        2    0.000    0.000    1.733    0.866 base.py:163(prepare_data)
        2    0.036    0.018    1.659    0.829 image.py:212(on_after_prepare)
    15232    0.504    0.000    1.648    0.000 {method 'load' of '_pickle.Unpickler' objects}
     7616    0.032    0.000    1.622    0.000 image.py:216(get_at_idx)
    15232    0.026    0.000    0.981    0.000 serialization.py:1794(persistent_load)
    15232    0.052    0.000    0.934    0.000 serialization.py:1762(load_tensor)
        2    0.003    0.001    0.828    0.414 zip.py:51(<dictcomp>)
     7616    0.004    0.000    0.825    0.000 zip.py:51(<listcomp>)
    22848    0.821    0.000    0.821    0.000 {method 'index' of 'list' objects}
    15232    0.673    0.000    0.673    0.000 {built-in method torch._C.get_storage_from_record}
     7616    0.539    0.000    0.539    0.000 occupancy_revised.py:247(<listcomp>)
     7616    0.512    0.000    0.512    0.000 image.py:222(<listcomp>)
    15232    0.362    0.000    0.364    0.000 serialization.py:670(__init__)
    54155    0.149    0.000    0.203    0.000 {built-in method posix.stat}
        2    0.000    0.000    0.180    0.090 zip.py:34(<listcomp>)
        6    0.000    0.000    0.180    0.030 base.py:63(get_identifiers)
        6    0.175    0.029    0.180    0.030 base.py:68(<listcomp>)
    38920    0.009    0.000    0.177    0.000 pathlib.py:1008(stat)
        4    0.001    0.000    0.156    0.039 base.py:186(load_paths)
    15232    0.010    0.000    0.143    0.000 serialization.py:657(_open_file_like)
    15232    0.052    0.000    0.129    0.000 _guards.py:869(detect_fake_mode)
    15238    0.113    0.000    0.118    0.000 {built-in method builtins.__build_class__}
    15232    0.010    0.000    0.115    0.000 serialization.py:639(__init__)
    15232    0.098    0.000    0.104    0.000 {built-in method io.open}
    22848    0.009    0.000    0.102    0.000 pathlib.py:1261(is_file)
    30464    0.098    0.000    0.098    0.000 {built-in method torch._C.get_record}
      468    0.004    0.000    0.093    0.000 base.py:196(<listcomp>)
    16072    0.008    0.000    0.093    0.000 pathlib.py:1230(exists)
    15232    0.014    0.000    0.088    0.000 _utils.py:193(_rebuild_tensor_v2)
        2    0.000    0.000    0.077    0.038 mast3r.py:221(prepare_data)
        2    0.000    0.000    0.077    0.038 mast3r.py:267(load_paths)
    60928    0.034    0.000    0.075    0.000 serialization.py:1830(find_class)
    15232    0.010    0.000    0.074    0.000 _utils.py:172(_rebuild_tensor)
    70086    0.021    0.000    0.060    0.000 pathlib.py:546(__fspath__)
      840    0.001    0.000    0.053    0.000 arrayprint.py:1685(_array_str_implementation)
      840    0.002    0.000    0.052    0.000 arrayprint.py:605(array2string)
    15232    0.031    0.000    0.051    0.000 _pytree.py:907(tree_leaves)
    15232    0.011    0.000    0.050    0.000 serialization.py:330(_is_zipfile)
    15232    0.022    0.000    0.049    0.000 _tensor.py:251(_typed_storage)
      840    0.001    0.000    0.048    0.000 arrayprint.py:550(wrapper)
    15232    0.004    0.000    0.046    0.000 <frozen os>:773(getenv)
      234    0.002    0.000    0.046    0.000 mast3r.py:273(<listcomp>)
      840    0.002    0.000    0.046    0.000 arrayprint.py:567(_array2string)
    15232    0.010    0.000    0.042    0.000 <frozen _collections_abc>:771(get)
    92934    0.029    0.000    0.042    0.000 pathlib.py:536(__str__)
    15232    0.006    0.000    0.041    0.000 <frozen genericpath>:48(getsize)
    15232    0.035    0.000    0.035    0.000 {built-in method torch.empty}
    23550    0.005    0.000    0.032    0.000 pathlib.py:927(iterdir)
    15232    0.021    0.000    0.032    0.000 <frozen os>:674(__getitem__)
      840    0.002    0.000    0.032    0.000 arrayprint.py:496(_get_format_function)
      280    0.001    0.000    0.031    0.000 _decorator.py:539(wrapped_fn)
    15232    0.004    0.000    0.029    0.000 serialization.py:642(__exit__)
    15233    0.029    0.000    0.029    0.000 {method 'read' of '_io.BufferedReader' objects}
    15232    0.029    0.000    0.029    0.000 {method 'set_' of 'torch._C.TensorBase' objects}
    45696    0.028    0.000    0.028    0.000 {function _load.<locals>.UnpicklerWrapper.find_class at 0x74d8b34e2160}
      280    0.002    0.000    0.028    0.000 mast3r.py:116(get_chunk_dir)
      280    0.001    0.000    0.028    0.000 _decorator.py:442(wrapped_fn_impl)
      840    0.001    0.000    0.027    0.000 arrayprint.py:455(<lambda>)
      280    0.001    0.000    0.027    0.000 occupancy_revised.py:61(get_chunk_dir)
      840    0.001    0.000    0.026    0.000 arrayprint.py:961(__init__)
      280    0.001    0.000    0.026    0.000 image.py:77(get_chunk_dir)
      840    0.009    0.000    0.025    0.000 arrayprint.py:987(fillFormat)
   179333    0.017    0.000    0.025    0.000 {built-in method builtins.isinstance}
    15232    0.025    0.000    0.025    0.000 {method 'close' of '_io.BufferedReader' objects}
    15232    0.006    0.000    0.022    0.000 serialization.py:1858(_is_torchscript_zip)
    30464    0.005    0.000    0.020    0.000 _pytree.py:890(tree_iter)
    15232    0.020    0.000    0.020    0.000 {built-in method _warnings.warn}
    30464    0.015    0.000    0.019    0.000 storage.py:766(__init__)
    30464    0.013    0.000    0.018    0.000 storage.py:674(__new__)
    15232    0.004    0.000    0.017    0.000 serialization.py:623(_is_path)
     4200    0.001    0.000    0.016    0.000 pathlib.py:765(__truediv__)
    15232    0.016    0.000    0.016    0.000 {built-in method torch._C.get_all_records}
    22848    0.007    0.000    0.016    0.000 pathlib.py:877(_make_child_relpath)
    15232    0.004    0.000    0.016    0.000 _pytree.py:672(_is_leaf)
     4200    0.003    0.000    0.015    0.000 pathlib.py:530(_make_child)
     5040    0.004    0.000    0.014    0.000 pathlib.py:484(_parse_args)
    15232    0.009    0.000    0.013    0.000 _python_dispatch.py:185(_get_current_dispatch_mode_stack)
    30464    0.013    0.000    0.013    0.000 {built-in method torch._C.has_record}
    23688    0.010    0.000    0.013    0.000 pathlib.py:523(_format_parsed_parts)
      840    0.000    0.000    0.012    0.000 arrayprint.py:828(_formatArray)
    15232    0.011    0.000    0.012    0.000 _utils.py:250(_validate_loaded_sparse_tensors)
      702    0.012    0.000    0.012    0.000 {built-in method posix.listdir}
    30464    0.012    0.000    0.012    0.000 {method 'tell' of '_io.BufferedReader' objects}
 3360/840    0.005    0.000    0.012    0.000 arrayprint.py:837(recurser)
    15232    0.005    0.000    0.012    0.000 _pytree.py:665(_get_node_type)
      560    0.001    0.000    0.011    0.000 base.py:114(get_saving_path)
    15232    0.006    0.000    0.011    0.000 <frozen os>:756(encode)
    15232    0.010    0.000    0.011    0.000 _utils.py:833(_element_size)
    15232    0.003    0.000    0.010    0.000 _guards.py:617(try_get)
    27048    0.007    0.000    0.010    0.000 pathlib.py:515(_from_parsed_parts)
    15232    0.009    0.000    0.009    0.000 {built-in method torch._C._log_api_usage_metadata}
     5040    0.006    0.000    0.009    0.000 pathlib.py:56(parse_parts)
    15232    0.008    0.000    0.008    0.000 {built-in method torch._C.serialization_id}
    15232    0.005    0.000    0.008    0.000 serialization.py:1704(__init__)
    58357    0.008    0.000    0.008    0.000 {built-in method __new__ of type object at 0x74db72c7da20}
    30464    0.005    0.000    0.008    0.000 serialization.py:1661(_maybe_decode_ascii)
    15232    0.003    0.000    0.008    0.000 <frozen abc>:117(__instancecheck__)
    15232    0.006    0.000    0.007    0.000 serialization.py:580(default_restore_location)
    15968    0.007    0.000    0.007    0.000 {built-in method builtins.getattr}
    15232    0.006    0.000    0.007    0.000 _pytree.py:654(_is_namedtuple_instance)
     1680    0.002    0.000    0.007    0.000 fromnumeric.py:69(_wrapreduction)
    15232    0.006    0.000    0.006    0.000 {built-in method torch._C._log_api_usage_once}
114234/113766    0.006    0.000    0.006    0.000 {built-in method builtins.len}
    15232    0.006    0.000    0.006    0.000 {method 'untyped_storage' of 'torch._C.TensorBase' objects}
      840    0.001    0.000    0.006    0.000 pathlib.py:868(__new__)
      840    0.001    0.000    0.006    0.000 fromnumeric.py:3052(max)
      280    0.000    0.000    0.006    0.000 mast3r.py:106(get_saving_path)
      840    0.001    0.000    0.005    0.000 pathlib.py:504(_from_parts)
    15232    0.005    0.000    0.005    0.000 serialization.py:1826(UnpicklerWrapper)
    15232    0.003    0.000    0.005    0.000 storage.py:1227(_data_ptr)
    22848    0.004    0.000    0.005    0.000 pathlib.py:622(name)
    15232    0.005    0.000    0.005    0.000 {built-in method _abc._abc_instancecheck}
     1680    0.004    0.000    0.004    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    45702    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
     3360    0.001    0.000    0.004    0.000 arrayprint.py:1042(<genexpr>)
    15232    0.004    0.000    0.004    0.000 {method 'encode' of 'str' objects}
    30464    0.004    0.000    0.004    0.000 serialization.py:628(__init__)
    15232    0.003    0.000    0.003    0.000 storage.py:1522(_get_dtype_from_pickle_storage_type)
     2520    0.001    0.000    0.003    0.000 arrayprint.py:801(_extendLine_pretty)
    23697    0.003    0.000    0.003    0.000 {method 'join' of 'str' objects}
     2520    0.002    0.000    0.003    0.000 arrayprint.py:1073(__call__)
      840    0.001    0.000    0.003    0.000 arrayprint.py:50(_make_options_dict)
    15232    0.003    0.000    0.003    0.000 serialization.py:764(_check_dill_version)
     3360    0.002    0.000    0.003    0.000 arrayprint.py:1037(<genexpr>)
    15232    0.003    0.000    0.003    0.000 {method 'decode' of 'bytes' objects}
    30464    0.002    0.000    0.002    0.000 serialization.py:631(__enter__)
      840    0.002    0.000    0.002    0.000 arrayprint.py:446(_get_formatdict)
    15232    0.002    0.000    0.002    0.000 {method 'seek' of '_io.BufferedReader' objects}
    15232    0.002    0.000    0.002    0.000 {built-in method torch._C._len_torch_dispatch_stack}
     2522    0.001    0.000    0.002    0.000 {built-in method builtins.max}
      840    0.000    0.000    0.002    0.000 fromnumeric.py:3190(min)
      280    0.000    0.000    0.002    0.000 inspect.py:3190(bind)
        2    0.001    0.001    0.002    0.001 {method 'sort' of 'list' objects}
    15232    0.002    0.000    0.002    0.000 {method 'lower' of 'str' objects}
      280    0.001    0.000    0.002    0.000 inspect.py:3059(_bind)
        2    0.002    0.001    0.002    0.001 {method 'intersection' of 'set' objects}
